recording_id,filename,dmc_priority_label,disaster_type,language,district,scripted_or_spontaneous,recording_condition,label_confidence,notes
890001000492658,890001000492658.wav,Low,,Sinhala,,spontaneous,Good,3,Asking information
890001000492659,890001000492659.wav,Low,,Sinhala,,spontaneous,Good,3,Complaining
890001000492661,890001000492661.wav,Low,,Sinhala,,spontaneous,Good,3,Asking information
890001000492665,890001000492665.wav,Low,,Sinhala,,spontaneous,Good,3,Asking information
890001000492675,890001000492675.wav,Low,,Sinhala,,spontaneous,Good,3,Asking information
890001000492722,890001000492722.wav,Low,,Sinhala,,spontaneous,Good,3,Asking information
890001000492735,890001000492735.wav,Low,,Sinhala,,spontaneous,Good,3,Informing about a disaster that's over and asking what to do post disaster
890001000492744,890001000492744.wav,High,Landslide,Sinhala,Badulla,spontaneous,Good,3,Possible big landslide
Call recording +251127_114430,Call recording +251127_114430.wav,Low,,Sinhala,,,Good,3,asking if theres a tsunami threat
Call recording +251128_074424,Call recording +251128_074424.wav,Medium,,Sinhala,Kandy,spontaneous,Good,3,
Call recording 0_251128_090910,Call recording 0_251128_090910.wav,Low,,Sinhala,Puttalam,spontaneous,Good,3,asking for roads
Call recording 0_251129_090737,Call recording 0_251129_090737.wav,Medium,,Sinhala,Puttalam,spontaneous,Good,3,Asking for food
Call recording 2215053,Call recording 2215053.wav,High,Landslide,Sinhala,Matale,spontaneous,Good,3,"landslide , people are stuck"
Call recording 251127_191819,Call recording 251127_191819.wav,High,Landslide,Sinhala,Badulla,spontaneous,Good,3,
Call recording 251128_000340,Call recording 251128_000340.wav,Medium,Landslide,Sinhala,Kandy,spontaneous,Good,3,"geyak yatawela , road is covered"
Call recording 251128_051228,Call recording 251128_051228.wav,High,Flood,Sinhala,Kandy,spontaneous,Good,3,people stuck
Call recording 251128_061456,Call recording 251128_061456.wav,High,Flood,Sinhala,Kandy,spontaneous,Good,3,families trapped
Call recording 251128_064500,Call recording 251128_064500.wav,Medium,Tree fallen,Sinhala,Gampaha,spontaneous,Fair,3,
Call recording 251128_145834,Call recording 251128_145834.wav,Medium,Tree fallen,Sinhala,Colombo,spontaneous,Good,3,tree about to fall
Call recording 251128_173111,Call recording 251128_173111.wav,High,Landslide,Sinhala,Kandy,spontaneous,Poor,2,
Call recording 251129_111451,Call recording 251129_111451.wav,High,,Sinhala,Gampaha,spontaneous,Good,3,rescue asking
Call recording 251130_061344,Call recording 251130_061344.wav,Low,,Sinhala,,spontaneous,Good,3,asking for information
Call recording 251130_182300,Call recording 251130_182300.wav,Medium,,Sinhala,,spontaneous,Good,2,help
