recording_id,filename,turn_index,start,end,duration
Call recording +251127_114430,Call recording +251127_114430.wav,1,1.482,19.64,18.158
Call recording +251127_114430,Call recording +251127_114430.wav,2,22.289,39.687,17.398
Call recording +251128_074424,Call recording +251128_074424.wav,1,0.098,5.279,5.181
Call recording +251128_074424,Call recording +251128_074424.wav,2,22.272,30.17,7.898
Call recording +251128_074424,Call recording +251128_074424.wav,3,44.243,51.584,7.341
Call recording +251128_074424,Call recording +251128_074424.wav,4,52.934,56.917,3.983
Call recording +251128_074424,Call recording +251128_074424.wav,5,58.182,66.738,8.556
Call recording +251128_074424,Call recording +251128_074424.wav,6,74.838,86.077,11.239
Call recording +251128_074424,Call recording +251128_074424.wav,7,87.14,89.62,2.48
Call recording 0_251128_090910,Call recording 0_251128_090910.wav,1,0.892,18.796,17.904
Call recording 0_251128_090910,Call recording 0_251128_090910.wav,2,50.723,55.82,5.097
Call recording 0_251128_090910,Call recording 0_251128_090910.wav,3,59.262,62.283,3.021
Call recording 0_251129_090737,Call recording 0_251129_090737.wav,1,2.022,29.748,27.726
Call recording 0_251129_090737,Call recording 0_251129_090737.wav,2,32.363,41.442,9.079
Call recording 2215053,Call recording 2215053.wav,1,0.031,15.556,15.525
Call recording 2215053,Call recording 2215053.wav,2,17.868,20.028,2.16
Call recording 2215053,Call recording 2215053.wav,3,23.538,26.052,2.514
Call recording 2215053,Call recording 2215053.wav,4,28.87,31.418,2.548
Call recording 2215053,Call recording 2215053.wav,5,33.899,39.603,5.704
Call recording 2215053,Call recording 2215053.wav,6,42.86,55.094,12.234
Call recording 2215053,Call recording 2215053.wav,7,59.515,62.62,3.105
Call recording 2215053,Call recording 2215053.wav,8,65.27,75.631,10.361
Call recording 2215053,Call recording 2215053.wav,9,83.731,88.287,4.556
Call recording 2215053,Call recording 2215053.wav,10,90.397,94.447,4.05
Call recording 2215053,Call recording 2215053.wav,11,95.577,102.732,7.155
Call recording 2215053,Call recording 2215053.wav,12,107.035,110.41,3.375
Call recording 2215053,Call recording 2215053.wav,13,113.414,122.594,9.18
