recording_id,filename,start,end,duration,speaker,heuristic_caller,caller_label,note
Call recording +251127_114430,Call recording +251127_114430.wav,0.031,0.47,0.439,SPEAKER_01,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,1.33,1.853,0.523,SPEAKER_00,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,1.482,13.48,11.998,SPEAKER_01,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,11.557,12.147,0.591,SPEAKER_02,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,13.48,13.514,0.034,SPEAKER_02,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,14.037,14.054,0.017,SPEAKER_01,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,14.054,14.071,0.017,SPEAKER_00,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,14.071,14.189,0.118,SPEAKER_01,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,14.122,14.442,0.321,SPEAKER_02,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,14.189,14.392,0.203,SPEAKER_00,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,14.392,15.978,1.586,SPEAKER_01,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,15.978,16.754,0.776,SPEAKER_02,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,17.615,17.632,0.017,SPEAKER_02,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,17.632,19.572,1.941,SPEAKER_00,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,18.425,19.64,1.215,SPEAKER_02,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,19.64,19.825,0.186,SPEAKER_00,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,20.078,22.61,2.531,SPEAKER_00,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,22.289,27.706,5.417,SPEAKER_02,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,28.077,35.249,7.172,SPEAKER_02,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,32.279,32.971,0.692,SPEAKER_01,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,33.578,33.916,0.338,SPEAKER_01,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,35.485,37.038,1.553,SPEAKER_02,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,35.637,36.548,0.911,SPEAKER_01,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,37.156,37.19,0.034,SPEAKER_02,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,37.19,37.342,0.152,SPEAKER_01,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,37.342,37.358,0.017,SPEAKER_02,SPEAKER_01,,
Call recording +251127_114430,Call recording +251127_114430.wav,37.73,39.687,1.957,SPEAKER_01,SPEAKER_01,,
Call recording +251128_074424,Call recording +251128_074424.wav,0.098,0.892,0.793,SPEAKER_02,SPEAKER_02,,
