filename,duration_sec,language,self_or_reporting_others,speaker_gender,urgency_label,confidence,keywords_heard,notes
call5.ogg,24,sinhala,s,F,Medium,2,"gange wathura wadi wela , minissu yanawa","Water rising, people evacuating"
call6.ogg,5,sinhala,s,F,High,3,"Hirawela, Lamai 3, Udhawkaranna","Home flooded, trapped with 3 kids, Help"
call7.ogg,8,sinhala,s,F,High,3,Wathura athule,Water inside the house
call8.ogg,6,sinhala,s,F,High,3,Wathura Godak Udata enawa,"Water level rising, location they don't know"
call9.ogg,8,english,s,F,High,3,"Fire,Grandmother is stuck inside","Fire inside Home, Granma trap"
call10.ogg,10,english,o,F,High,3,"Fire,3 workers inside",Fire in Warehouse 3 workers maybe inside
call11.ogg,10,sinhala,s,F,Low,1,Current Giya,no current due to rain
call13.ogg,6,sinhala,o,F,High,3,"Ginnak, dennek athule",Fire in Warehouse 2 workers inside
call14.ogg,10,sinhala,s,F,High,3,"Wathura athule, dennek athule",Water inside house 2 people trapped
call17.ogg,10,singlish,s,F,Medium,2,"Ginnak, Sure na",Maybe fire not sure
call18.ogg,10,singlish,s,F,Medium,2,"Ginnak, exact place not sure",Maybe fire not sure
call19.ogg,10,singlish,s,F,Medium,2,"water near back door, im not sure",
call21.ogg,10,tamil,s,F,High,3,"Thee, Pugai",Fire but don't know where they are
call22.ogg,10,tamil,s,F,Low,3,minsaram Prachinai,Power cut for few days
call23.ogg,8,tamil,s,F,High,3,"Wellam ulle, kulandhihal, sikki irikkirom","Flood water in, Stuck with kids"
call24.ogg,8,tamil,s,F,High,3,"seekiram waarungal, Thee, ulle moowar",fire inside kitchen 3 ppl stuck
call25.ogg,9,tamil,o,F,High,3,"Thee,ulle sikki",Fire in shop 1 person trapped
call26.ogg,7,sinhala,s,M,High,3,"Wathura Udata enawa, 4 denek, awidaganna ba","water rising 4 people trapped, dad cant walk"
call28.ogg,11,sinhala,s,M,Low,3,,Just informing rain is heavy and his garden is flooded
call29.ogg,10,singlish,o,M,High,3,Ginnak,
call32.ogg,8,singlish,s,F,High,3,"paara wahala, Wathura Pirila, dennek athule","ground floor fully flooded, roads closed 2 ppl trapped"
call33.ogg,6,singlish,s,F,High,3,"Ginnak, Husma ganna ba","fire, stuck cant breathe"
call35.ogg,6,sinhala,s,F,High,3,"Gini, thatha athule","Housefire, dad trapped"
call36.ogg,7,singlish,s,M,Medium,3,"Wathura, wadi wenna puluwan",Water levels may rise
call37.ogg,7,singlish,s,M,Low,3,,Just informing flood is getting worse
call38.ogg,10,singlish,o,M,High,3,Loku Ginnak,neighbours house is on fire
