word,class,score,in_current_list
inside,High,0.0308,False
வாங்க,High,0.0306,False
get,High,0.0303,False
two,High,0.0299,False
உள்ள,High,0.0278,False
வேண்டும,High,0.026,False
எங்கள,High,0.0256,False
நாங்கள,High,0.0232,False
da,High,0.0228,False
na,High,0.0217,False
உங்கள,High,0.0215,False
ஒர,High,0.0207,False
house,High,0.0194,False
come,High,0.0161,False
முக்க வர,High,0.0156,False
முக்க,High,0.0156,False
also,High,0.0143,False
நான,High,0.0124,False
water,High,0.012,False
too,High,0.0083,False
la,High,0.005,False
par,High,0.0047,False
ng,High,0.0032,False
சரியாக,High,0.0028,False
what,High,0.0023,False
இருவர,High,0.0013,False
one,High,0.0004,False
our,High,0.0001,False
apartment,High,-0.0,False
வந்த,High,-0.0006,False
problem,Low,0.069,False
இப்போத,Low,0.0437,False
வில்ல,Low,0.0305,False
வெளிய,Low,0.0279,False
வீட்ட,Low,0.0265,False
ve,Low,0.0264,False
ki,Low,0.02,False
la,Low,0.0164,False
apartment,Low,0.0156,False
ke,Low,0.0149,False
one,Low,0.0147,False
what,Low,0.0141,False
ng,Low,0.0136,False
your,Low,0.0133,False
புக,Low,0.0133,False
வர,Low,0.0114,False
water,Low,0.0086,False
go,Low,0.0085,False
வீட்டின,Low,0.0085,False
ko,Low,0.0085,False
also,Low,0.0075,False
மேல,Low,-0.0037,False
முக்க வர,Low,-0.0078,False
முக்க,Low,-0.0078,False
come,Low,-0.0081,False
சரியாக,Low,-0.0092,False
house,Low,-0.0097,False
our,Low,-0.0099,False
இருவர,Low,-0.01,False
தெரியவில்ல,Low,-0.0102,False
