feature,group,train_mean,dmc_mean,abs_d,d,in_range
mfcc_14_mean,acoustic,-10.111929484744197,-2.3864775753059124,1.6079190472050693,1.6079190472050693,0.847457627118644
pitch_std,acoustic,32.70799512454265,54.493917448741996,1.4958383723929753,1.4958383723929753,0.9152542372881356
mfcc_10_std,acoustic,19.154625842633767,24.157724736100537,1.4300138145539683,1.4300138145539683,0.9661016949152542
word_count,text,10.132183526556132,47.220338983050844,1.387125216626419,1.387125216626419,0.4915254237288136
mfcc_4_mean,acoustic,22.857417980606638,2.1078509102433416,1.359647029750935,-1.359647029750935,0.9661016949152542
speaking_rate,acoustic,0.873219573066501,0.7176714111541519,1.3263513240154592,-1.3263513240154592,0.9830508474576272
mfcc_40_std,acoustic,6.337880689999584,8.428203473656865,1.2645719816197551,1.2645719816197551,0.9491525423728814
mfcc_25_std,acoustic,13.01188478041231,8.828352370504605,1.177249154934926,-1.177249154934926,0.9830508474576272
repetition_rate,text,0.015224656121468031,0.06940905768478575,1.1463622348073406,1.1463622348073406,0.9152542372881356
mfcc_3_mean,acoustic,6.008866797114133,-11.458485783156702,1.123048520171576,-1.123048520171576,0.9830508474576272
mfcc_17_mean,acoustic,-9.002733727407813,-4.075054200176718,1.1110952136309076,1.1110952136309076,1.0
mfcc_10_mean,acoustic,-13.322139856632283,-6.014860467101305,1.1007993189294025,1.1007993189294025,1.0
mfcc_28_std,acoustic,12.496213901355471,8.993319567987474,1.093515324712879,-1.093515324712879,1.0
mfcc_26_std,acoustic,12.940559431854705,9.136910672915183,1.0662072013182788,-1.0662072013182788,0.9491525423728814
mfcc_27_std,acoustic,12.616156995966193,9.109341855776512,1.0572146835566871,-1.0572146835566871,0.9661016949152542
mfcc_7_std,acoustic,27.597996854603515,32.57595531011032,1.0241691188316833,1.0241691188316833,0.9491525423728814
mfcc_39_std,acoustic,6.724806985605076,8.582611989166777,1.008230721512832,1.008230721512832,0.9830508474576272
mfcc_12_mean,acoustic,-9.34644985829623,-4.373016326609305,0.9775963811029738,0.9775963811029738,1.0
mfcc_40_mean,acoustic,-2.1141436714818527,-0.03499411933629189,0.9660417801849515,0.9660417801849515,1.0
pitch_mean,acoustic,230.79361066500974,189.66275292604772,0.9563711477350696,-0.9563711477350696,1.0
mfcc_14_std,acoustic,12.861130367950553,15.064442375958976,0.9421877520076245,0.9421877520076245,0.9830508474576272
mfcc_24_std,acoustic,12.555116726664568,9.178079871808068,0.9235488936418257,-0.9235488936418257,0.9152542372881356
mfcc_29_std,acoustic,11.912030498633223,9.25068485130698,0.8708948717165407,-0.8708948717165407,0.9830508474576272
mfcc_11_std,acoustic,17.17831164085017,19.74867112757796,0.8648406029902215,0.8648406029902215,0.9661016949152542
mfcc_23_std,acoustic,12.285996997847539,9.103844691131075,0.8544950121840972,-0.8544950121840972,0.9491525423728814
